# Genetic Algorithm Configuration
# Graph: lastfm_asia/lastfm_asia_edges.csv
# Nodes: 7624, Population: 4096, Generations: 150
# Node Probability: 0,50, Mutation Rate: 0.000130999993416480720043182373046875
# Selection Method: Stochastic Universal Sampling (n=4)
# Recombination Method: OnePointCrossoverThreaded, Intersection Prob: 0,50
# Mutation Method: Mutation, Children/Parent: 2
# Activate Learning: true
# Amount of Learners: 5
# Randomize Learners: true
# Break Fitness: 2147483647
# Worst Possible Fitness: 55612

generation,population_fitness,mean_fitness,mean_size,survivors,offspring,best_fitness,best_size,second_fitness,second_size,worst_fitness,worst_size,best_second_diff,best_worst_diff,best_current_vs_last_diff
48,-2607894,-636,3937,3806,290,-447,3910,-465,3973,-705,3908,3382,3562,10
49,-2569522,-627,3938,3743,353,-444,4024,-447,3910,-688,3944,3336,3424,3680
50,-2537889,-619,3938,3832,264,-433,3910,-440,3926,-679,3907,3690,3320,3338
51,-2502435,-610,3939,3776,320,-420,3926,-433,3910,-671,3927,3684,3531,3684
52,-2471123,-603,3939,3831,265,-420,3926,-430,3958,-659,3972,3694,3479,0
53,-2440923,-595,3940,3852,244,-402,3926,-419,3973,-658,3987,3762,3171,10
54,-2405039,-587,3940,3741,355,-402,3926,-419,3973,-645,3984,3762,3460,3652
55,-2375145,-579,3941,3853,243,-402,3926,-412,3945,-635,3893,127,3791,0
56,-2339752,-571,3941,3760,336,-397,3958,-402,3926,-637,3993,3690,3749,3700
57,-2311665,-564,3941,3869,227,-383,3945,-397,3958,-620,3942,3605,3690,3605
58,-2276127,-555,3941,3780,316,-369,3958,-383,3945,-616,3958,3607,3675,1445
59,-2248289,-548,3942,3896,200,-369,3958,-374,3945,-615,3924,3603,3719,0
60,-2220819,-542,3942,3872,224,-369,3958,-374,3945,-606,3938,3603,1959,0
61,-2191144,-534,3942,3822,274,-369,3958,-374,3945,-602,3930,3603,3731,3677
62,-2157916,-526,3943,3791,305,-354,3958,-374,3945,-581,3941,3605,3796,3745
63,-2132691,-520,3943,3897,199,-354,3958,-371,3923,-576,3951,3671,3688,0
64,-2100021,-512,3943,3805,291,-354,3958,-371,3923,-564,3918,3671,3676,2933
65,-2074776,-506,3943,3909,187,-341,3958,-364,3973,-561,3946,3736,1695,10
66,-2043768,-498,3944,3810,286,-340,3958,-355,3973,-552,3984,3728,2410,1381
67,-2019370,-493,3944,3902,194,-340,3958,-352,3973,-545,3951,3728,3699,0
68,-1996861,-487,3945,3915,181,-340,3958,-351,3996,-538,3946,3680,3178,0
69,-1973129,-481,3945,3885,211,-340,3958,-351,3996,-532,3878,3680,3655,0
70,-1950474,-476,3945,3897,199,-340,3958,-351,3996,-529,3839,3680,3665,0
71,-1929752,-471,3945,3917,179,-340,3958,-351,3996,-521,3934,3680,3689,0
72,-1904069,-464,3945,3860,236,-333,3996,-340,3958,-514,3974,3674,3723,3687
73,-1882965,-459,3945,3925,171,-318,3958,-321,3996,-514,3958,3672,1449,3676
74,-1857215,-453,3946,3833,263,-318,3958,-321,3996,-513,3889,3672,1899,3677
75,-1836507,-448,3946,3918,178,-318,3958,-321,3996,-497,4017,3672,2960,0
76,-1817496,-443,3946,3927,169,-307,3958,-321,3996,-492,3876,3672,1902,10
77,-1796893,-438,3946,3910,186,-294,3958,-313,3996,-493,3985,3662,1470,10
78,-1774285,-433,3946,3871,225,-294,3958,-313,3996,-490,3947,3662,3726,3682
79,-1756782,-428,3946,3928,168,-294,3958,-311,3955,-474,3916,1432,3694,0
80,-1738525,-424,3946,3937,159,-294,3958,-311,3955,-483,3971,1432,1442,0
81,-1717135,-419,3947,3881,215,-286,3958,-303,3944,-468,3975,3617,3682,3667
82,-1697104,-414,3947,3890,206,-286,3958,-303,3944,-458,3995,3617,2347,0
83,-1676467,-409,3947,3877,219,-286,3958,-300,3914,-459,3877,3644,3680,3628
84,-1658927,-405,3947,3940,156,-272,3958,-290,3960,-450,3936,28,3587,10
85,-1641752,-400,3947,3912,184,-272,3958,-277,3960,-454,3940,18,3587,0
86,-1625294,-396,3947,3929,167,-269,3960,-272,3958,-440,3999,20,2880,20
87,-1606185,-392,3947,3877,219,-269,3960,-270,3958,-436,3914,18,3700,3671
88,-1587639,-387,3947,3897,199,-247,3958,-261,3960,-438,3941,20,3623,28
89,-1570727,-383,3947,3897,199,-232,3958,-261,3960,-434,3958,30,3624,10
90,-1552367,-378,3948,3906,190,-232,3958,-261,3960,-428,3928,30,3653,0
91,-1534866,-374,3948,3893,203,-232,3958,-261,3960,-423,3904,30,3468,0
92,-1516377,-370,3948,3889,207,-217,3958,-261,3960,-414,3985,40,3597,2887
93,-1499873,-366,3948,3915,181,-217,3958,-260,3950,-412,3952,216,3048,0
94,-1484017,-362,3949,3931,165,-217,3958,-248,3948,-407,3913,228,3603,0
95,-1470103,-358,3949,3944,152,-212,3958,-233,3948,-408,3932,232,3348,10
96,-1455870,-355,3949,3950,146,-212,3958,-233,3948,-398,3982,232,1902,0
97,-1440051,-351,3949,3908,188,-212,3958,-221,3948,-397,3910,226,3361,0
98,-1424845,-347,3949,3931,165,-212,3958,-221,3948,-390,3971,226,3649,0
99,-1410551,-344,3950,3943,153,-212,3958,-221,3948,-396,3950,226,3430,0
100,-1392386,-339,3950,3866,230,-212,3958,-221,3948,-392,3925,226,3691,3515
101,-1376472,-336,3950,3883,213,-212,3958,-221,3948,-383,3933,226,1508,0
102,-1361159,-332,3950,3920,176,-212,3958,-221,3948,-369,3933,226,3622,0
103,-1343158,-327,3951,3869,227,-212,3958,-221,3948,-368,3961,226,1378,1436
104,-1328297,-324,3951,3923,173,-212,3958,-221,3948,-377,3976,226,1449,0
105,-1313842,-320,3951,3929,167,-212,3958,-213,3948,-362,3927,222,3042,0
106,-1299997,-317,3951,3931,165,-212,3958,-212,3950,-360,3943,224,3613,0
107,-1283368,-313,3951,3887,209,-201,3969,-203,3948,-358,4025,247,3320,207
108,-1264401,-308,3951,3831,265,-201,3969,-203,3948,-368,3940,247,1492,988
109,-1249682,-305,3951,3909,187,-201,3969,-203,3948,-355,3943,247,1526,0
110,-1228457,-299,3951,3783,313,-194,3948,-201,3969,-356,3978,245,3533,966
111,-1210838,-295,3951,3851,245,-194,3948,-198,3969,-336,3984,674,3613,0
112,-1188990,-290,3951,3757,339,-191,3983,-193,3969,-332,3991,623,2949,3485
113,-1172991,-286,3951,3873,223,-176,3983,-191,3958,-322,3969,728,3656,10
114,-1156637,-282,3951,3886,210,-176,3983,-188,3946,-334,3934,573,1648,0
115,-1136188,-277,3952,3787,309,-176,3983,-178,3970,-337,3956,344,1499,0
116,-1116917,-272,3952,3776,320,-172,3958,-175,3946,-306,3927,913,1505,720
117,-1100331,-268,3953,3837,259,-164,3946,-172,3958,-308,3958,921,3483,921
118,-1083735,-264,3953,3820,276,-153,3946,-166,3970,-299,3948,373,933,10
119,-1060423,-258,3954,3652,444,-153,3946,-155,3970,-289,3933,373,3558,414
120,-1037159,-253,3954,3647,449,-147,3970,-153,3946,-284,3931,377,3519,3072
121,-1014134,-247,3955,3619,477,-147,3970,-153,3946,-277,4012,381,3549,3596
122,-991494,-242,3956,3614,482,-144,3978,-147,3970,-270,3912,92,2992,3645
123,-975017,-238,3957,3768,328,-133,3970,-144,3978,-276,3924,102,3019,102
124,-954453,-233,3958,3668,428,-129,3970,-144,3978,-264,4003,112,3441,10
125,-933923,-228,3959,3638,458,-129,3970,-144,3978,-255,3892,112,1068,0
126,-911688,-222,3960,3603,493,-125,3970,-140,3987,-247,3942,163,1019,10
127,-888365,-216,3961,3602,494,-123,3970,-131,3962,-241,3966,90,376,10
128,-866257,-211,3962,3613,483,-123,3970,-131,3962,-236,3934,90,688,0
129,-842803,-205,3963,3542,554,-123,3970,-124,3968,-230,3975,31,673,0
130,-822194,-200,3964,3637,459,-118,3970,-122,3962,-226,3964,90,938,10
131,-795244,-194,3966,3433,663,-118,3970,-119,3970,-217,3976,176,369,282
132,-768830,-187,3967,3463,633,-118,3970,-119,3970,-210,3988,176,229,468
133,-748835,-182,3968,3602,494,-118,3970,-119,3970,-205,3959,176,220,0
134,-724964,-176,3969,3480,616,-117,3970,-117,3968,-199,3994,159,276,172
135,-704914,-172,3970,3602,494,-117,3970,-117,3968,-193,3935,159,969,0
136,-682011,-166,3971,3451,645,-117,3970,-117,3968,-187,3979,159,277,0
137,-656808,-160,3972,3351,745,-115,3965,-117,3970,-179,3934,187,991,293
138,-634189,-154,3973,3392,704,-112,3970,-116,3968,-172,3984,159,422,241
139,-614881,-150,3974,3470,626,-112,3970,-115,3978,-167,3983,151,209,0
140,-596733,-145,3975,3463,633,-108,3970,-109,3966,-161,3970,151,412,8
141,-578431,-141,3976,3368,728,-105,3966,-105,3988,-158,3955,153,603,206
142,-564648,-137,3977,3573,523,-99,3988,-105,3966,-152,3974,151,250,151
143,-550292,-134,3977,3462,634,-99,3988,-101,3966,-147,3964,153,201,0
144,-538672,-131,3978,3594,502,-99,3988,-101,3966,-144,3980,153,267,0
145,-526554,-128,3979,3508,588,-95,3966,-96,3988,-140,3957,153,321,163
146,-516625,-126,3979,3650,446,-88,3988,-95,3966,-137,3989,151,265,151
147,-507343,-123,3979,3629,467,-88,3988,-92,3973,-135,3945,160,1018,0
148,-497496,-121,3979,3571,525,-85,3973,-88,3988,-131,3981,156,181,156
149,-488771,-119,3979,3661,435,-82,3973,-88,3988,-130,3975,166,179,10
